label,message,cleaned,prediction
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",oh right ok make sure load work day got realli nasti cough today dri n shot realli help,0
ham,I am in tirupur.  call you da.,tirupur call da,0
ham,No that just means you have a fat head,mean fat head,0
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",cash prize claim call,1
ham,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,come aftr lt decim gt clean hous,0
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,friendship poem dear dear u r near hear dont get fear live cheer tear u r alway dear gud ni,0
ham,Wot about on wed nite I am 3 then but only til 9!,wot wed nite til,0
ham,Dont talk to him ever ok its my word.,dont talk ever ok word,0
ham,Congrats kano..whr s the treat maga?,congrat kano whr treat maga,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u rememb spell name yes v naughti make v wet,0
ham,"Sorry, I'll call later",sorri call later,0
ham,"It's cool, we can last a little while. Getting more any time soon?",cool last littl get time soon,0
ham,K. I will sent it again,k sent,0
ham,Ok lor but not too early. Me still having project meeting now.,ok lor earli still project meet,0
ham,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,look fri pan case cheap book perhap silli fri pan like book,0
ham,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,ask keep one mayb get messag sent glo,0
ham,"There're some people by mu, I'm at the table by lambda",peopl mu tabl lambda,0
ham,Oh k...i'm watching here:),oh k watch,0
ham,Need a coffee run tomo?Can't believe it's that time of week already,need coffe run tomo believ time week alreadi,0
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",derp wors dude alway want parti dude file complaint three drug abus live,0
ham,You still around? I could use a half-8th,still around could use half th,0
ham,So why didnt you holla?,didnt holla,0
ham,We left already we at orchard now.,left alreadi orchard,0
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,unsubscrib servic get ton sexi babe hunk straight phone go http gotbab co uk subscript,1
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,friendship poem dear dear u r near hear dont get fear live cheer tear u r alway dear gud ni,0
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,yeh indian nice tho kane bit shud go drink sometim soon mite hav go da work laugh soon love pete x x,0
ham,"Sorry, I'll call later",sorri call later,0
ham,"Alright, I'll head out in a few minutes, text me where to meet you",alright head minut text meet,0
ham,"Yep, at derek's house now, see you Sunday &lt;3",yep derek hous see sunday lt,0
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes must speak friday egg potato ratio tortilla need,0
ham,How much for an eighth?,much eighth,0
ham,"It's that time of the week again, ryan",time week ryan,0
ham,Fffff. Can you text kadeem or are you too far gone,fffff text kadeem far gone,0
ham,Yeah I don't see why not,yeah see,0
ham,Hi! This is Roger from CL. How are you?,hi roger cl,0
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,wanna get laid nite want real dog locat sent direct ur mobil join uk largest dog network txt park nyt ec lp msg,1
ham,"K I'll head out in a few mins, see you there",k head min see,0
ham,Is there coming friday is leave for pongal?do you get any news from your work place.,come friday leav pongal get news work place,0
ham,ÌÏ only send me the contents page...,send content page,0
ham,"Oh fine, I'll be by tonight",oh fine tonight,0
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,want anytim network min text new video phone five pound per week call repli deliveri tomorrow,1
ham,Yes. It's all innocent fun. O:-),yes innoc fun,0
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),v nice sheffield tom air opinion categori b use measur ethnic next census busi transcrib,0
ham,"Haha figures, well I found the piece and priscilla's bowl",haha figur well found piec priscilla bowl,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darl week word back like fun still tb ok xxx std chgs send rcv,0
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,make easi pay back lt gt yrs say pay back earlier get,0
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),xam hall boy ask girl tell start term dis answer den manag lot hesit n lookin around silent said intha ponnungal ipaditan,0
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing,like hotel dusk game think solv puzzl area thing,0
ham,If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.,meet rite go home lor dun feel like comin ok,0
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,work ring u thing whole hous scream brat pull hair love u,0
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.,dunno lei shd b drive lor cos go sch hr oni,0
ham,Ok leave no need to ask,ok leav need ask,0
ham,Yes watching footie but worried we're going to blow it - Phil Neville?,yes watch footi worri go blow phil nevill,0
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe",lol forgot eh yes bring babe,0
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_,littl darl far week need coffe run tomo believ time week alreadi,0
ham,Same as kallis dismissial in 2nd test:-).,kalli dismissi nd test,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",good afternoon babe goe day job prospect yet miss love sigh,0
ham,Ok...,ok,0
ham,Did either of you have any idea's? Do you know of anyplaces doing something?,either idea know anyplac someth,0
ham,3 pa but not selected.,pa select,0
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,love u babe r u sure everyth alrit idiot txt bak girli,0
ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",strang watch nd one bed sweet dream miss u,0
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,yo guy ever figur much need alcohol jay tri figur much safe spend weed,0
ham,aathi..where are you dear..,aathi dear,0
spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",urgent mobil award bonus caller prize nd attempt contact call box qu bt nation rate,1
ham,Uncle Abbey! Happy New Year. Abiola,uncl abbey happi new year abiola,0
